0.5,79.0392,0.115164
0.55,59.7904,0.0998977
0.6,44.1305,0.0814187
0.65,32.7437,0.0598623
0.7,24.6314,0.0424826
0.75,19.1678,0.0307515
0.8,15.2473,0.023194
0.85,12.3431,0.0178988
0.9,10.242,0.0133928
0.95,8.64081,0.00978932
1,7.37806,0.00809406
1.05,6.40911,0.00669417
1.1,5.60496,0.00526093
1.15,4.95446,0.00440421
1.2,4.40898,0.00376283
1.25,3.96645,0.00321375
1.3,3.58588,0.00277007
1.35,3.25166,0.00238297
1.4,2.98209,0.00207725
1.45,2.73796,0.00184296
1.5,2.52742,0.00163306
1.55,2.34647,0.00148393
1.6,2.18235,0.0012147
1.65,2.0384,0.00116649
1.7,1.90619,0.00108364
1.75,1.79237,0.00100899
1.8,1.68779,0.000898312
1.85,1.59368,0.000829232
1.9,1.50856,0.000785201
1.95,1.42986,0.000703787
2,1.35999,0.00065287
